Symbol,Security,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,Founded
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,1902
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/64,1888
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/12,2013 (1888)
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/18,1981
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1989
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/15,2008
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",5/5/97,1982
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California",3/20/17,1969
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/15,1932
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/98,1981
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"West Palm Beach, Florida",7/1/14,1993
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/99,1955
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",6/5/00,1999
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/85,1940
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/07,1998
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",5/13/16,1985
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/16,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/17,1994
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",5/25/12,1992
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",6/19/17,1997
